Employee_ID,Experience_Years,Projects_Completed,Technical_Skills,Communication_Skills,Interview_Score,Certification_Count,Internships,Coding_Test,Leadership,Problem_Solving,Attendance,Teamwork,Client_Rating,Work_Hours,Salary
E032,5,8,75,78,80,2,2,78,72,76,95,80,4.5,45,60000
E033,5,8,75,78,80,2,2,78,72,76,95,80,4.5,45,60000
E034,6,11,,81,85,3,3,84,77,83,94,84,4.6,47,79000
E035,4,,73,74,77,2,2,71,67,73,91,75,4.1,43,56000
E036,2,3,60,,61,1,1,57,51,60,88,67,3.4,39,33000
E037,9,16,91,89,,4,4,92,87,91,98,91,4.9,52,112000
E038,3,4,66,68,70,,2,64,58,65,89,70,3.9,41,40000
E039,5,9,78,76,81,2,,80,73,79,93,81,4.4,45,65000
E040,7,13,86,84,89,4,3,,82,87,96,87,4.8,49,93000
E041,2,2,58,62,60,1,1,56,,58,87,66,3.4,39,30000
E042,6,10,80,79,83,3,3,82,75,,94,82,4.6,46,76000
E043,1,1,51,54,53,0,1,47,41,49,85,59,3.0,37,22000
E044,12,22,98,95,99,6,6,99,95,98,100,98,5.0,60,500000
E045,0,0,35,40,38,0,0,30,28,32,60,40,1.5,20,5000
E046,15,30,100,100,100,8,8,100,100,100,100,100,5.0,70,900000
E047,4,7,72,74,76,2,2,70,66,72,91,74,4.0,43,55000
E048,8,14,88,85,90,4,3,89,84,88,97,88,4.8,50,98000
E049,2,3,61,64,63,1,1,59,52,61,88,67,3.5,40,34000
E050,10,18,92,90,94,4,4,95,88,93,98,92,4.9,52,120000
E051,3,4,64,66,68,1,1,62,56,63,88,68,3.7,41,39000
E052,5,7,76,78,79,2,2,77,70,75,92,79,4.3,44,62000
E053,6,11,83,81,84,3,3,85,77,82,95,84,4.6,47,81000
E054,2,2,57,60,59,1,1,55,49,57,86,65,3.3,38,29000
E055,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,101000
E056,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E057,7,12,85,83,88,3,3,86,80,85,96,86,4.7,48,88000
E058,4,6,70,72,73,2,2,68,64,69,90,73,4.0,42,51000
E059,9,17,91,89,93,4,4,93,87,92,98,92,5.0,52,115000
E060,3,5,67,69,70,1,2,65,59,66,89,70,3.9,41,42000
E061,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E062,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E063,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E064,10,19,94,92,95,5,5,96,90,94,99,95,5.0,54,128000
E065,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E066,1,1,50,54,52,0,1,46,40,48,84,58,2.9,36,21000
E067,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E068,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E069,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E070,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E071,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E072,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E073,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E074,9,16,92,90,94,4,4,94,88,93,98,93,5.0,53,118000
E075,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E076,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E077,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E078,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E079,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E080,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E081,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E082,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E083,8,15,90,88,92,4,4,91,86,90,97,90,4.9,51,103000
E084,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E085,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E086,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E087,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,126000
E088,2,2,57,60,58,1,1,55,48,57,85,64,3.2,38,29000
E089,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E090,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E091,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E092,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E093,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E094,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E095,9,16,91,89,,4,4,92,87,91,98,92,5.0,52,113000
E096,5,8,75,77,79,,2,76,72,75,92,79,4.3,44,62000
E097,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E098,12,25,99,97,100,7,6,100,96,99,100,99,5.0,65,750000
E099,0,0,30,35,32,0,0,25,20,28,55,35,1.0,18,3000
E100,20,40,100,100,100,10,10,100,100,100,100,100,5.0,80,1200000
E101,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,51000
E102,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,76000
E103,2,3,58,61,60,1,1,56,49,57,86,65,3.3,39,30000
E104,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E105,1,1,50,53,51,0,1,46,40,48,84,58,2.9,36,21000
E106,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,63000
E107,7,12,85,83,87,3,3,86,80,84,96,85,4.7,48,87000
E108,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E109,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,116000
E110,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E111,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E112,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E113,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E114,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E115,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E116,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E117,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E118,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E119,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E120,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E121,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E122,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E123,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E124,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E125,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E126,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E127,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E128,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E129,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E130,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E131,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E132,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E133,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E134,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E135,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E136,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E137,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E138,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E139,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E140,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E141,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E142,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E143,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E144,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E145,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E146,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E147,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E148,15,30,100,100,100,8,8,100,100,100,100,100,5.0,72,950000
E149,0,0,28,32,30,0,0,22,18,25,50,30,1.0,15,2000
E150,25,50,100,100,100,12,12,100,100,100,100,100,5.0,90,1500000
E151,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E152,7,12,85,83,87,3,3,86,80,84,96,85,4.7,48,87000
E153,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E154,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E155,2,2,56,60,58,1,1,54,48,56,85,64,3.2,38,28000
E156,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E157,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E158,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E159,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E160,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E161,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E162,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E163,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E164,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E165,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,51000
E166,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E167,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E168,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E169,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E170,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E171,2,2,57,61,59,1,1,55,48,57,85,64,3.2,38,29000
E172,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E173,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E174,1,1,48,51,49,0,1,44,38,46,82,56,2.7,35,19000
E175,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E176,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E177,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E178,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E179,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E180,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E181,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E182,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E183,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E184,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E185,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E186,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E187,2,2,56,60,58,1,1,54,48,56,85,64,3.2,38,28000
E188,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E189,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E190,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E191,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E192,5,9,,77,81,2,2,79,73,78,93,81,4.4,45,66000
E193,3,,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E194,10,18,93,,95,5,5,95,89,94,99,94,5.0,54,127000
E195,2,3,58,62,,1,1,56,49,58,86,65,3.3,39,30000
E196,6,11,82,81,84,,3,83,77,82,95,84,4.6,47,80000
E197,4,6,69,71,73,2,,67,63,68,90,72,4.0,42,51000
E198,18,35,100,100,100,9,9,100,100,100,100,100,5.0,75,1100000
E199,0,0,25,30,28,0,0,20,15,22,45,25,0.8,12,1000
E200,30,60,100,100,100,15,15,100,100,100,100,100,5.0,95,2000000
E201,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E202,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E203,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E204,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E205,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E206,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E207,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E208,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E209,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E210,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E211,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E212,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E213,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E214,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E215,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E216,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E217,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E218,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E219,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E220,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E221,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E222,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E223,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E224,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E225,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E226,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E227,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E228,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E229,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E230,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E231,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E232,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E233,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E234,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E235,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E236,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E237,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E238,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E239,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E240,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E241,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E242,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E243,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E244,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E245,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E246,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E247,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E248,22,45,100,100,100,10,10,100,100,100,100,100,5.0,85,1600000
E249,0,0,20,25,22,0,0,18,12,20,40,20,0.5,10,500
E250,35,70,100,100,100,18,18,100,100,100,100,100,5.0,100,3000000
E251,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E252,7,12,85,83,87,3,3,86,80,84,96,85,4.7,48,87000
E253,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E254,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E255,2,2,56,60,58,1,1,54,48,56,85,64,3.2,38,28000
E256,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E257,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E258,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E259,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E260,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E261,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E262,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E263,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E264,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E265,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,51000
E266,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E267,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E268,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E269,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E270,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E271,2,2,57,61,59,1,1,55,48,57,85,64,3.2,38,29000
E272,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E273,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E274,1,1,48,51,49,0,1,44,38,46,82,56,2.7,35,19000
E275,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E276,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E277,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E278,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E279,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E280,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E281,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E282,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E283,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E284,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E285,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E286,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E287,2,2,56,60,58,1,1,54,48,56,85,64,3.2,38,28000
E288,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E289,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E290,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E291,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E292,5,9,,77,81,2,2,79,73,78,93,81,4.4,45,66000
E293,3,,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E294,10,18,93,,95,5,5,95,89,94,99,94,5.0,54,127000
E295,2,3,58,62,,1,1,56,49,58,86,65,3.3,39,30000
E296,6,11,82,81,84,,3,83,77,82,95,84,4.6,47,80000
E297,4,6,69,71,73,2,,67,63,68,90,72,4.0,42,51000
E298,28,55,100,100,100,14,14,100,100,100,100,100,5.0,92,2500000
E299,0,0,15,20,18,0,0,10,8,12,35,15,0.3,8,200
E300,40,80,100,100,100,20,20,100,100,100,100,100,5.0,110,5000000
E301,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E302,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E303,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E304,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E305,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E306,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E307,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E308,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E309,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E310,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E311,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E312,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E313,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E314,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E315,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E316,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E317,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E318,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E319,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E320,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E321,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E322,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E323,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E324,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E325,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E326,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E327,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E328,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E329,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E330,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E331,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E332,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E333,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E334,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E335,1,1,50,52,51,0,1,46,40,48,84,58,2.9,36,21000
E336,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E337,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E338,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E339,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E340,7,13,85,84,88,3,3,86,80,85,96,86,4.7,49,89000
E341,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E342,6,11,,81,84,3,3,83,77,82,95,84,4.6,47,80000
E343,4,,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E344,2,3,59,,61,1,1,57,50,59,87,66,3.4,39,31000
E345,8,15,89,87,,4,4,90,85,89,97,89,4.9,50,102000
E346,5,8,74,76,78,,2,75,71,74,92,78,4.2,44,61000
E347,1,1,49,53,50,0,,45,39,47,83,57,2.8,35,20000
E348,24,48,100,100,100,12,12,100,100,100,100,100,5.0,88,1800000
E349,0,0,18,22,20,0,0,15,10,16,38,18,0.4,9,300
E350,45,90,100,100,100,25,25,100,100,100,100,100,5.0,120,7000000
E351,4,6,70,72,74,2,2,68,64,69,90,73,4.0,42,52000
E352,6,10,81,80,83,3,3,82,76,81,94,82,4.5,46,77000
E353,2,3,59,63,61,1,1,57,50,59,87,66,3.4,39,31000
E354,8,15,89,87,91,4,4,90,85,89,97,89,4.9,50,102000
E355,1,1,49,53,50,0,1,45,39,47,83,57,2.8,35,20000
E356,5,8,75,77,79,2,2,76,72,75,92,79,4.3,44,62000
E357,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E358,3,5,66,68,70,1,2,64,58,65,89,70,3.9,41,41000
E359,9,17,92,90,94,4,4,93,88,92,98,92,5.0,53,117000
E360,4,7,71,73,75,2,2,69,65,71,91,74,4.1,43,54000
E361,6,11,82,81,84,3,3,83,77,82,95,84,4.6,47,80000
E362,2,2,57,60,58,1,1,55,48,56,85,64,3.2,38,29000
E363,10,18,93,91,95,5,5,95,89,94,99,94,5.0,54,127000
E364,5,9,77,76,80,2,2,78,72,77,93,80,4.4,45,65000
E365,3,4,64,66,67,1,2,62,56,63,88,68,3.7,40,39000
E366,7,13,86,84,88,3,3,87,81,86,96,87,4.8,49,91000
E367,1,1,48,52,49,0,1,44,38,46,82,56,2.7,35,19000
E368,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
E369,4,6,69,71,73,2,2,67,63,68,90,72,4.0,42,50000
E370,8,14,88,86,90,4,4,89,84,88,97,88,4.8,50,99000
E371,2,3,58,62,60,1,1,56,49,58,86,65,3.3,39,30000
E372,5,8,74,76,78,2,2,75,71,74,92,78,4.2,44,61000
E373,9,16,91,89,93,4,4,92,87,91,98,92,5.0,52,114000
E374,3,5,67,69,71,1,2,65,59,66,89,70,3.9,41,42000
E375,6,11,83,82,85,3,3,84,78,83,95,84,4.6,47,81000
E376,1,1,49,54,50,0,1,45,39,47,83,57,2.8,35,20000
E377,7,12,84,83,87,3,3,85,79,84,96,85,4.7,48,86000
E378,4,7,72,74,76,2,2,70,66,72,91,74,4.1,43,55000
E379,10,19,94,92,96,5,5,96,90,95,99,95,5.0,55,130000
E380,2,2,56,61,58,1,1,54,48,56,85,64,3.2,38,28000
E381,5,9,78,77,81,2,2,79,73,78,93,81,4.4,45,66000
E382,8,14,87,86,90,4,4,88,83,87,97,88,4.8,50,97000
E383,3,4,65,67,68,1,2,63,57,64,88,69,3.8,40,40000
E384,6,10,80,79,82,3,3,81,75,80,94,82,4.5,46,75000
